filename,bucket,damage,backend,exit,err_class,stderr_head
fuzz_00000_valid.t27,valid,ok,rust,0,ok,
fuzz_00000_valid.t27,valid,ok,zig,0,ok,
fuzz_00000_valid.t27,valid,ok,c,0,ok,
fuzz_00001_semi-valid.t27,semi-valid,arity-swap/no-op,rust,0,ok,
fuzz_00001_semi-valid.t27,semi-valid,arity-swap/no-op,zig,0,ok,
fuzz_00001_semi-valid.t27,semi-valid,arity-swap/no-op,c,0,ok,
fuzz_00002_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00002_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00002_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00003_valid.t27,valid,ok,rust,0,ok,
fuzz_00003_valid.t27,valid,ok,zig,0,ok,
fuzz_00003_valid.t27,valid,ok,c,0,ok,
fuzz_00004_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 13:1"
fuzz_00004_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 13:1"
fuzz_00004_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 13:1"
fuzz_00005_malformed.t27,malformed,bad-return-arrow,rust,0,ok,
fuzz_00005_malformed.t27,malformed,bad-return-arrow,zig,0,ok,
fuzz_00005_malformed.t27,malformed,bad-return-arrow,c,0,ok,
fuzz_00006_semi-valid.t27,semi-valid,arity-swap/no-op,rust,0,ok,
fuzz_00006_semi-valid.t27,semi-valid,arity-swap/no-op,zig,0,ok,
fuzz_00006_semi-valid.t27,semi-valid,arity-swap/no-op,c,0,ok,
fuzz_00007_valid.t27,valid,ok,rust,0,ok,
fuzz_00007_valid.t27,valid,ok,zig,0,ok,
fuzz_00007_valid.t27,valid,ok,c,0,ok,
fuzz_00008_valid.t27,valid,ok,rust,0,ok,
fuzz_00008_valid.t27,valid,ok,zig,0,ok,
fuzz_00008_valid.t27,valid,ok,c,0,ok,
fuzz_00009_valid.t27,valid,ok,rust,0,ok,
fuzz_00009_valid.t27,valid,ok,zig,0,ok,
fuzz_00009_valid.t27,valid,ok,c,0,ok,
fuzz_00010_valid.t27,valid,ok,rust,0,ok,
fuzz_00010_valid.t27,valid,ok,zig,0,ok,
fuzz_00010_valid.t27,valid,ok,c,0,ok,
fuzz_00011_malformed.t27,malformed,rename-return-keyword,rust,0,ok,
fuzz_00011_malformed.t27,malformed,rename-return-keyword,zig,0,ok,
fuzz_00011_malformed.t27,malformed,rename-return-keyword,c,0,ok,
fuzz_00012_malformed.t27,malformed,bad-type-name,rust,0,ok,
fuzz_00012_malformed.t27,malformed,bad-type-name,zig,0,ok,
fuzz_00012_malformed.t27,malformed,bad-type-name,c,0,ok,
fuzz_00013_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00013_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00013_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00014_semi-valid.t27,semi-valid,bool-cast-mismatch,rust,0,ok,
fuzz_00014_semi-valid.t27,semi-valid,bool-cast-mismatch,zig,0,ok,
fuzz_00014_semi-valid.t27,semi-valid,bool-cast-mismatch,c,0,ok,
fuzz_00015_valid.t27,valid,ok,rust,0,ok,
fuzz_00015_valid.t27,valid,ok,zig,0,ok,
fuzz_00015_valid.t27,valid,ok,c,0,ok,
fuzz_00016_semi-valid.t27,semi-valid,bool-cast-mismatch,rust,0,ok,
fuzz_00016_semi-valid.t27,semi-valid,bool-cast-mismatch,zig,0,ok,
fuzz_00016_semi-valid.t27,semi-valid,bool-cast-mismatch,c,0,ok,
fuzz_00017_valid.t27,valid,ok,rust,0,ok,
fuzz_00017_valid.t27,valid,ok,zig,0,ok,
fuzz_00017_valid.t27,valid,ok,c,0,ok,
fuzz_00018_valid.t27,valid,ok,rust,0,ok,
fuzz_00018_valid.t27,valid,ok,zig,0,ok,
fuzz_00018_valid.t27,valid,ok,c,0,ok,
fuzz_00019_valid.t27,valid,ok,rust,0,ok,
fuzz_00019_valid.t27,valid,ok,zig,0,ok,
fuzz_00019_valid.t27,valid,ok,c,0,ok,
fuzz_00020_malformed.t27,malformed,bad-type-name,rust,0,ok,
fuzz_00020_malformed.t27,malformed,bad-type-name,zig,0,ok,
fuzz_00020_malformed.t27,malformed,bad-type-name,c,0,ok,
fuzz_00021_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00021_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00021_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 18:1"
fuzz_00022_valid.t27,valid,ok,rust,0,ok,
fuzz_00022_valid.t27,valid,ok,zig,0,ok,
fuzz_00022_valid.t27,valid,ok,c,0,ok,
fuzz_00023_valid.t27,valid,ok,rust,0,ok,
fuzz_00023_valid.t27,valid,ok,zig,0,ok,
fuzz_00023_valid.t27,valid,ok,c,0,ok,
fuzz_00024_malformed.t27,malformed,drop-semicolon,rust,0,ok,
fuzz_00024_malformed.t27,malformed,drop-semicolon,zig,0,ok,
fuzz_00024_malformed.t27,malformed,drop-semicolon,c,0,ok,
fuzz_00025_valid.t27,valid,ok,rust,0,ok,
fuzz_00025_valid.t27,valid,ok,zig,0,ok,
fuzz_00025_valid.t27,valid,ok,c,0,ok,
fuzz_00026_malformed.t27,malformed,bad-type-name,rust,0,ok,
fuzz_00026_malformed.t27,malformed,bad-type-name,zig,0,ok,
fuzz_00026_malformed.t27,malformed,bad-type-name,c,0,ok,
fuzz_00027_valid.t27,valid,ok,rust,0,ok,
fuzz_00027_valid.t27,valid,ok,zig,0,ok,
fuzz_00027_valid.t27,valid,ok,c,0,ok,
fuzz_00028_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00028_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00028_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00029_valid.t27,valid,ok,rust,0,ok,
fuzz_00029_valid.t27,valid,ok,zig,0,ok,
fuzz_00029_valid.t27,valid,ok,c,0,ok,
fuzz_00030_valid.t27,valid,ok,rust,0,ok,
fuzz_00030_valid.t27,valid,ok,zig,0,ok,
fuzz_00030_valid.t27,valid,ok,c,0,ok,
fuzz_00031_valid.t27,valid,ok,rust,0,ok,
fuzz_00031_valid.t27,valid,ok,zig,0,ok,
fuzz_00031_valid.t27,valid,ok,c,0,ok,
fuzz_00032_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 22:1"
fuzz_00032_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 22:1"
fuzz_00032_malformed.t27,malformed,drop-close-brace,c,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 22:1"
fuzz_00033_valid.t27,valid,ok,rust,0,ok,
fuzz_00033_valid.t27,valid,ok,zig,0,ok,
fuzz_00033_valid.t27,valid,ok,c,0,ok,
fuzz_00034_valid.t27,valid,ok,rust,0,ok,
fuzz_00034_valid.t27,valid,ok,zig,0,ok,
fuzz_00034_valid.t27,valid,ok,c,0,ok,
fuzz_00035_valid.t27,valid,ok,rust,0,ok,
fuzz_00035_valid.t27,valid,ok,zig,0,ok,
fuzz_00035_valid.t27,valid,ok,c,0,ok,
fuzz_00036_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00036_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00036_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00037_malformed.t27,malformed,unclosed-paren,rust,0,ok,
fuzz_00037_malformed.t27,malformed,unclosed-paren,zig,0,ok,
fuzz_00037_malformed.t27,malformed,unclosed-paren,c,0,ok,
fuzz_00038_valid.t27,valid,ok,rust,0,ok,
fuzz_00038_valid.t27,valid,ok,zig,0,ok,
fuzz_00038_valid.t27,valid,ok,c,0,ok,
fuzz_00039_semi-valid.t27,semi-valid,unknown-ident-in-body,rust,0,ok,
fuzz_00039_semi-valid.t27,semi-valid,unknown-ident-in-body,zig,0,ok,
fuzz_00039_semi-valid.t27,semi-valid,unknown-ident-in-body,c,0,ok,
fuzz_00040_malformed.t27,malformed,rename-return-keyword,rust,0,ok,
fuzz_00040_malformed.t27,malformed,rename-return-keyword,zig,0,ok,
fuzz_00040_malformed.t27,malformed,rename-return-keyword,c,0,ok,
fuzz_00041_malformed.t27,malformed,drop-close-brace,rust,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 25:1"
fuzz_00041_malformed.t27,malformed,drop-close-brace,zig,1,parse-error,"Error: Compile error: Expected RBrace, got Eof ('') at line 25:1"
