backend,spec,gen_lines,n_runs,median_ns,mean_ns,stddev_ns,min_ns,max_ns
c,access_control,240,5,1795106,1803800,40987,1756800,1867625
c,adaptive_retry,63,5,1489524,1500640,26279,1472770,1535394
c,adaptive_routing,268,5,1855448,1876862,49643,1838072,1958477
c,anomaly_detector,303,5,1876197,1869427,27827,1821392,1889321
c,api_documenter,291,5,1976557,1993318,38547,1957542,2056051
c,area_optimization,247,5,1766888,1758179,36811,1711403,1794327
c,auto_config,298,5,1957886,1994869,145853,1844626,2225405
c,bandwidth_allocator,325,5,2080046,2066017,41038,2014967,2105319
c,byte_utils,100,5,1550507,1549449,34910,1510056,1596066
c,cache_management,267,5,1847947,1846241,40528,1791896,1904082
c,compression_engine,260,5,1806885,1827669,45587,1782398,1898293
c,congestion_control,214,5,1749786,1786009,112200,1685407,1972421
c,crc16,95,5,1555782,1557327,42401,1502533,1621518
c,cross_layer_optimizer,265,5,1917045,1920025,33080,1881628,1957441
c,docs_generator,348,5,2039859,2042318,20118,2017082,2066983
c,energy_aware_routing,294,5,1895152,2078588,401736,1877847,2795735
c,etx,145,5,1601904,1610148,37820,1583343,1676090
c,failure_predictor,305,5,1927475,1923163,22784,1887650,1947814
c,fault_detection,272,5,1855061,1870897,34997,1842052,1921572
c,flow_control,225,5,1726697,1721438,22869,1689021,1748417
c,fpga_synthesis_report,199,5,1689921,1689054,25387,1659118,1725906
c,frame_buffer,109,5,1554852,1564439,38332,1528468,1629550
c,hardware_validation,224,5,1709218,1715364,26687,1687132,1757867
c,health_dashboard,299,5,1915221,1913924,16567,1892698,1936688
c,health_monitoring,360,5,2293320,2381302,292483,2178782,2895647
c,hello,154,5,1749280,1739111,20151,1707202,1755245
c,integration_framework,423,5,2059871,2089102,63214,2038625,2182197
c,integration_tests,165,5,1739737,1749905,65246,1678464,1836462
c,key_management,271,5,1947903,1940032,26239,1903915,1964005
c,link_quality_monitor,65,5,1483638,1479864,29197,1443957,1516297
c,link_statistics,81,5,1504729,1506856,10382,1494987,1518677
c,lite_crypto,135,5,1622392,1618665,28850,1588829,1661100
c,load_predictor,254,5,1788501,1785646,20717,1752862,1809067
c,local_processing,263,5,1823196,1821206,26271,1788307,1849612
c,m3_multihop,87,5,1533286,1537654,33402,1504637,1588203
c,mesh_node_sim,156,5,1719496,1725184,26277,1706338,1770963
c,mesh_protocol_stack,225,5,1743752,1745787,18765,1725073,1767843
c,mesh_routing,175,5,1703515,1717340,44236,1668067,1787789
c,multipath_router,56,5,1540164,1535453,33142,1492318,1574039
c,multipath_routing,321,5,1990473,2012420,47427,1965232,2063624
c,network_analytics,264,5,1773749,1774590,19438,1748897,1794340
c,network_coding,260,5,1818575,1830581,54122,1782777,1910539
c,network_metrics,106,5,1493785,1505097,36358,1475063,1568242
c,network_orchestrator,304,5,1898294,1899967,35119,1850692,1935184
c,network_simulator,307,5,1918105,1925898,29735,1893945,1974335
c,olsr_routing,231,5,1845670,1861266,31810,1833019,1902853
c,packet_loss_injection,176,5,1587201,1600341,37227,1575301,1665271
c,packet_queue,145,5,1611764,1623013,31879,1590594,1672294
c,pattern_predictor,297,5,2130505,2160839,89792,2058340,2265194
c,performance_benchmarks,224,5,1682891,1680015,24514,1654431,1709376
c,performance_profiler,310,5,1872767,1894027,63328,1842706,2003701
c,power_monitoring,244,5,1756598,1758988,31048,1716833,1792071
c,production_deployment,221,5,1712101,1714894,40457,1674684,1780710
c,production_scenarios,226,5,1661233,1675375,56994,1617074,1768695
c,quarantine_manager,278,5,1789227,1801985,46149,1754406,1875557
c,redundancy_management,297,5,1969890,1970865,10109,1958599,1984531
c,resource_scheduler,361,5,1987602,2000304,33318,1970889,2056415
c,self_healing,292,5,1871934,1879035,34732,1843649,1924533
c,swarm_coordinator,259,5,1925808,1924415,35846,1874120,1975201
c,test_framework,361,5,1956446,1951078,30179,1911526,1988069
c,test_validator,337,5,1916915,1928223,33896,1894917,1983057
c,timer,118,5,1511993,1517339,24240,1493365,1557910
c,timing_closure,229,5,1694780,1699124,35470,1655831,1746519
c,topology_visualizer,295,5,1912323,1927939,42349,1894018,1999729
c,traffic_animator,363,5,2057508,2074909,42523,2045352,2147187
c,transport_tx_fsm,238,5,1720254,1722745,28418,1688134,1764781
c,trust_manager,112,5,1747022,1748608,37199,1713638,1807234
c,wire,128,5,1572628,1558917,28187,1520608,1584527
rust,access_control,109,5,1766450,1783511,46440,1750159,1865156
rust,adaptive_retry,27,5,1480464,1476861,22042,1440220,1495752
rust,adaptive_routing,143,5,1908470,1916546,50442,1859221,1997625
rust,anomaly_detector,288,5,1921748,1925843,17128,1911180,1955386
rust,api_documenter,235,5,2053748,2057092,35984,2008846,2105152
rust,area_optimization,104,5,1756358,1753223,31153,1702619,1782547
rust,auto_config,298,5,1936837,1962939,58480,1907972,2041710
rust,bandwidth_allocator,186,5,2081443,2081055,47201,2018949,2151098
rust,byte_utils,51,5,1673992,1691524,64238,1613827,1786544
rust,cache_management,219,5,1822012,1827920,32098,1793689,1878663
rust,compression_engine,242,5,1826190,1829260,13533,1815342,1851369
rust,congestion_control,183,5,1816906,1836670,70102,1755401,1934035
