backend,spec,run_idx,elapsed_ns,gen_lines
rust,wire,0,1788101,63
rust,wire,1,1791642,63
rust,wire,2,1742796,63
rust,wire,3,1735705,63
rust,wire,4,1666352,63
rust,hello,0,2129322,67
rust,hello,1,1977780,67
rust,hello,2,1862419,67
rust,hello,3,1912792,67
rust,hello,4,1824742,67
rust,etx,0,2021505,68
rust,etx,1,1754115,68
rust,etx,2,1708477,68
rust,etx,3,1753932,68
rust,etx,4,1676564,68
rust,crc16,0,2164134,27
rust,crc16,1,1603980,27
rust,crc16,2,1679315,27
rust,crc16,3,1678892,27
rust,crc16,4,1651659,27
rust,byte_utils,0,1715433,51
rust,byte_utils,1,1786544,51
rust,byte_utils,2,1613827,51
rust,byte_utils,3,1673992,51
rust,byte_utils,4,1667825,51
rust,mesh_routing,0,1770336,35
rust,mesh_routing,1,1754373,35
rust,mesh_routing,2,1782044,35
rust,mesh_routing,3,1710180,35
rust,mesh_routing,4,1799470,35
rust,key_management,0,2077515,180
rust,key_management,1,2039984,180
rust,key_management,2,2092562,180
rust,key_management,3,2072459,180
rust,key_management,4,2022592,180
rust,frame_buffer,0,1582128,27
rust,frame_buffer,1,1685487,27
rust,frame_buffer,2,1593121,27
rust,frame_buffer,3,1668221,27
rust,frame_buffer,4,1594027,27
rust,packet_queue,0,1682556,45
rust,packet_queue,1,2229477,45
rust,packet_queue,2,1684386,45
rust,packet_queue,3,1621940,45
rust,packet_queue,4,1698374,45
rust,congestion_control,0,1816906,183
rust,congestion_control,1,1878353,183
rust,congestion_control,2,1934035,183
rust,congestion_control,3,1798659,183
rust,congestion_control,4,1755401,183
rust,flow_control,0,1780704,186
rust,flow_control,1,1851714,186
rust,flow_control,2,1725340,186
rust,flow_control,3,1957700,186
rust,flow_control,4,1777945,186
rust,self_healing,0,1887378,114
rust,self_healing,1,1892732,114
rust,self_healing,2,1905401,114
rust,self_healing,3,1966355,114
rust,self_healing,4,1889873,114
rust,trust_manager,0,1808233,80
rust,trust_manager,1,1837408,80
rust,trust_manager,2,1825315,80
rust,trust_manager,3,1786401,80
rust,trust_manager,4,1784869,80
rust,timer,0,1595730,33
rust,timer,1,1578257,33
rust,timer,2,1593686,33
rust,timer,3,1523918,33
rust,timer,4,1535170,33
rust,transport_tx_fsm,0,1789511,147
rust,transport_tx_fsm,1,1762503,147
rust,transport_tx_fsm,2,1758146,147
rust,transport_tx_fsm,3,1818913,147
rust,transport_tx_fsm,4,1744399,147
rust,redundancy_management,0,2041425,186
rust,redundancy_management,1,1989078,186
rust,redundancy_management,2,2241535,186
rust,redundancy_management,3,2219826,186
rust,redundancy_management,4,2060962,186
rust,fault_detection,0,2015087,133
rust,fault_detection,1,1994492,133
rust,fault_detection,2,1924539,133
rust,fault_detection,3,1987992,133
rust,fault_detection,4,1891921,133
rust,lite_crypto,0,1562230,27
rust,lite_crypto,1,1632394,27
rust,lite_crypto,2,1636311,27
rust,lite_crypto,3,1593544,27
rust,lite_crypto,4,1593421,27
rust,network_metrics,0,1589880,38
